order_id,date,customer_id,product,price,quantity,coupon_code,shipping_city,discount_rate,state,city_population,latitude,longitude,city_match,gross_amount,order_total,discount_amount,days_since_purchase,order_month,order_weekday,is_weekend
ORD-10001,2025-01-01,C0076,USB-C Hub,39.99,2,,Phoenix,0.0,Arizona,1513367,33.4483771,-112.0740373,exact,79.98,79.98,0.0,181,2025-01,Wednesday,False
ORD-10002,2025-01-02,C0134,Mechanical Keyboard,89.99,3,,Atlanta,0.0,Georgia,447841,33.7489954,-84.3879824,exact,269.97,269.97,0.0,180,2025-01,Thursday,False
ORD-10003,2025-01-02,C0031,Wireless Mouse,24.99,2,WELCOME5,Denver,0.05,Colorado,649495,39.7392358,-104.990251,exact,49.98,47.48,2.5,180,2025-01,Thursday,False
ORD-10004,2025-01-02,C0038,1080p Webcam,59.99,1,SAVE15,Austin,0.15,Texas,885400,30.267153000000004,-97.7430608,exact,59.99,50.99,9.0,180,2025-01,Thursday,False
ORD-10005,2025-01-02,C0019,Laptop Stand,34.99,2,,Los Angeles,0.0,California,3884307,34.0522342,-118.24368490000002,exact,69.98,69.98,0.0,180,2025-01,Thursday,False
ORD-10006,2025-01-03,C0124,LED Desk Lamp,29.99,2,WELCOME5,San Diego,0.05,California,1355896,32.715738,-117.1610838,exact,59.98,56.98,3.0,179,2025-01,Friday,False
ORD-10007,2025-01-03,C0024,Mechanical Keyboard,89.99,1,SAVE20,Austin,0.2,Texas,885400,30.267153000000004,-97.7430608,exact,89.99,71.99,18.0,179,2025-01,Friday,False
ORD-10008,2025-01-03,C0092,Laptop Stand,34.99,4,,New York,0.0,New York,8405837,40.7127837,-74.00594129999999,exact,139.96,139.96,0.0,179,2025-01,Friday,False
ORD-10009,2025-01-03,C0148,LED Desk Lamp,29.99,2,SAVE15,Miami,0.15,Florida,417650,25.7616798,-80.1917902,exact,59.98,50.98,9.0,179,2025-01,Friday,False
ORD-10010,2025-01-03,C0036,Mechanical Keyboard,89.99,1,SAVE15,New York,0.15,New York,8405837,40.7127837,-74.00594129999999,exact,89.99,76.49,13.5,179,2025-01,Friday,False
ORD-10011,2025-01-04,C0150,LED Desk Lamp,29.99,2,,Chicago,0.0,Illinois,2718782,41.8781136,-87.62979820000001,exact,59.98,59.98,0.0,178,2025-01,Saturday,True
ORD-10012,2025-01-04,C0068,1080p Webcam,59.99,1,SAVE20,Portland,0.2,Oregon,609456,45.523062200000005,-122.6764816,ambiguous: largest chosen,59.99,47.99,12.0,178,2025-01,Saturday,True
ORD-10013,2025-01-04,C0064,Wireless Mouse,24.99,3,,New York,0.0,New York,8405837,40.7127837,-74.00594129999999,exact,74.97,74.97,0.0,178,2025-01,Saturday,True
ORD-10014,2025-01-05,C0040,Noise-Cancelling Headphones,199.99,1,SAVE20,Houston,0.2,Texas,2195914,29.7604267,-95.3698028,exact,199.99,159.99,40.0,177,2025-01,Sunday,True
ORD-10015,2025-01-05,C0112,Mechanical Keyboard,89.99,1,,Miami,0.0,Florida,417650,25.7616798,-80.1917902,exact,89.99,89.99,0.0,177,2025-01,Sunday,True
ORD-10016,2025-01-05,C0028,USB-C Hub,39.99,1,WELCOME5,New York,0.05,New York,8405837,40.7127837,-74.00594129999999,exact,39.99,37.99,2.0,177,2025-01,Sunday,True
ORD-10017,2025-01-05,C0029,1080p Webcam,59.99,4,,New York,0.0,New York,8405837,40.7127837,-74.00594129999999,exact,239.96,239.96,0.0,177,2025-01,Sunday,True
ORD-10018,2025-01-05,C0113,LED Desk Lamp,29.99,1,,Houston,0.0,Texas,2195914,29.7604267,-95.3698028,exact,29.99,29.99,0.0,177,2025-01,Sunday,True
ORD-10019,2025-01-05,C0132,Noise-Cancelling Headphones,199.99,2,SAVE10,Seattle,0.1,Washington,652405,47.6062095,-122.33207079999998,exact,399.98,359.98,40.0,177,2025-01,Sunday,True
ORD-10020,2025-01-05,C0078,Wireless Mouse,24.99,1,,Los Angeles,0.0,California,3884307,34.0522342,-118.24368490000002,exact,24.99,24.99,0.0,177,2025-01,Sunday,True
ORD-10021,2025-01-05,C0105,Laptop Stand,34.99,3,SAVE15,Boston,0.15,Massachusetts,645966,42.3600825,-71.0588801,exact,104.97,89.22,15.75,177,2025-01,Sunday,True
ORD-10022,2025-01-06,C0061,Noise-Cancelling Headphones,199.99,1,WELCOME5,New York,0.05,New York,8405837,40.7127837,-74.00594129999999,exact,199.99,189.99,10.0,176,2025-01,Monday,False
ORD-10023,2025-01-06,C0035,LED Desk Lamp,29.99,2,,Miami,0.0,Florida,417650,25.7616798,-80.1917902,exact,59.98,59.98,0.0,176,2025-01,Monday,False
ORD-10024,2025-01-06,C0134,27in Monitor,249.99,1,,Los Angeles,0.0,California,3884307,34.0522342,-118.24368490000002,exact,249.99,249.99,0.0,176,2025-01,Monday,False
