order_id,date,customer_id,product,price,quantity,coupon_code,shipping_city
ORD-10001,2025-01-01,C0076,USB-C Hub,39.99,2,,Phoenix
ORD-10002,01/02/2025,C0134,Mechanical Keyboard,89.99,3,,Atlanta
ORD-10003,2025-01-02,C0031,Wireless Mouse,24.99,2,WELCOME5,Denver
ORD-10004,2025-01-02,C0038,1080p Webcam,59.99,1,SAVE15,Austin
ORD-10005,2025-01-02,C0019,Laptop Stand,34.99,2,,Los Angeles
ORD-10006,2025-01-03,C0124,LED Desk Lamp,29.99,2,WELCOME5,san diego
ORD-10007,2025-01-03,C0024,Mechanical Keyboard,89.99,1,SAVE20,Austin
ORD-10008,2025-01-03,C0092,Laptop Stand,34.99,4,,New York
ORD-10008,2025-01-03,C0092,Laptop Stand,34.99,4,,New York
ORD-10009,2025-01-03,C0148,LED Desk Lamp,29.99,2,SAVE15,Miami
ORD-10010,2025-01-03,C0036,Mechanical Keyboard,89.99,1,SAVE15,New York
ORD-10011,2025-01-04,C0150,LED Desk Lamp,29.99,2,,Chicago
ORD-10012,01/04/2025,C0068,1080p Webcam,59.99,1,SAVE20,Portland
ORD-10013,2025-01-04,C0064,Wireless Mouse,24.99,3,,New York
ORD-10014,2025-01-05,C0040,Noise-Cancelling Headphones,199.99,1,SAVE20,Houston
ORD-10015,2025-01-05,C0112,Mechanical Keyboard,89.99,1,,Miami
ORD-10016,2025-01-05,C0028,USB-C Hub,39.99,1,welcome5,New York
ORD-10017,01/05/2025,C0029,1080p Webcam,59.99,4,,New York
ORD-10018,2025-01-05,C0113,LED Desk Lamp,29.99,1,,Houston
ORD-10019,2025-01-05,C0132,Noise-Cancelling Headphones,199.99,2,SAVE10,Seattle
ORD-10020,01/05/2025,C0078,Wireless Mouse,24.99,1,,Los Angeles
ORD-10021,2025-01-05,C0105,Laptop Stand,34.99,3,SAVE15,Boston
ORD-10022,2025-01-06,C0061,Noise-Cancelling Headphones,199.99,1,welcome5,New York
ORD-10023,2025-01-06,C0035,LED Desk Lamp,29.99,2,,Miami
ORD-10024,2025-01-06,C0134,27in Monitor,249.99,1,none,Los Angeles 
ORD-10025,2025-01-06,C0118,Laptop Stand,34.99,2,,Seattle
ORD-10026,2025-01-06,C0089,USB-C Hub,39.99,3,WELCOME5,Portland
ORD-10027,01/07/2025,C0127,USB-C Hub,39.99,3,SAVE15,Denver
ORD-10028,2025-01-07,C0056,Noise-Cancelling Headphones,199.99,1,WELCOME5,LOS ANGELES
ORD-10029,2025-01-07,C0092,Mechanical Keyboard,89.99,1,,Dallas
ORD-10030,2025-01-08,C0012,Wireless Mouse,24.99,1,SAVE15,  Denver
ORD-10031,2025-01-09,C0135,27in Monitor,249.99,,,Portland
ORD-10032,2025-01-09,C0071,Mechanical Keyboard,89.99,1,FREESHIP,Houston
ORD-10033,2025-01-09,C0017,Wireless Mouse,24.99,1,,Dallas
ORD-10034,2025-01-10,C0147,Mechanical Keyboard,89.99,2,SAVE10,Philadelphia
ORD-10035,01/10/2025,C0135,1080p Webcam,$59.99,4,WELCOME5,  New York
ORD-10036,2025-01-10,C0107,Mechanical Keyboard,89.99,,SAVE15,Chicago
ORD-10037,2025-01-11,C0028,1080p Webcam,59.99,1, SAVE15,Dallas
ORD-10038,2025-01-11,C0117,Wireless Mouse,24.99,2,,HOUSTON
ORD-10039,2025-01-12,C0051,LED Desk Lamp,29.99,5,SAVE10,Boston
ORD-10040,2025-01-12,C0023,Mechanical Keyboard,89.99,1,,Atlanta
ORD-10041,2025-01-13,C0068,1080p Webcam,59.99,2,,Dallas
ORD-10042,2025-01-13,C0086,LED Desk Lamp,29.99,2,,Los Angeles
ORD-10043,2025-01-13,C0141,1080p Webcam,59.99,1,WELCOME5,Dallas
ORD-10044,2025-01-14,C0066,Laptop Stand,34.99,1,SAVE10,New York
ORD-10045,2025-01-14,C0066,USB-C Hub,39.99,2,,atlanta
ORD-10046,2025-01-14,C0015,Wireless Mouse,24.99,5,,Houston
ORD-10047,2025-01-14,C0010,Laptop Stand,34.99,1,SAVE15,Dallas
ORD-10047,2025-01-14,C0010,Laptop Stand,34.99,1,SAVE15,Dallas
ORD-10048,2025-01-15,C0028,Noise-Cancelling Headphones,199.99,3,WELCOME5,  Dallas
ORD-10049,2025-01-15,C0120,Mechanical Keyboard,89.99,1,SAVE10,dallas
ORD-10050,2025-01-15,C0060,27in Monitor,249.99,2,,Houston
ORD-10051,2025-01-15,C0137,Mechanical Keyboard,89.99,2,SAVE20,Los Angeles
ORD-10052,01/15/2025,C0015,Mechanical Keyboard,89.99,2,,  Miami
ORD-10053,2025-01-15,C0091,Noise-Cancelling Headphones,199.99,1,SAVE20,New York
ORD-10054,2025-01-16,C0040,Noise-Cancelling Headphones,199.99,1,,Houston
ORD-10055,2025-01-17,C0130,27in Monitor,249.99,2,,Atlanta
ORD-10056,2025-01-17,C0127,LED Desk Lamp,29.99,1,,boston
ORD-10057,2025-01-17,C0070,27in Monitor,-249.99,1,,Atlanta
ORD-10058,2025-01-18,C0010,USB-C Hub,39.99,2,,New York
ORD-10059,2025-01-18,C0051,Noise-Cancelling Headphones,199.99,1,,Houston
ORD-10060,2025-01-19,C0077,Wireless Mouse,24.99,2,,Miami
ORD-10061,2025-01-20,C0089,Wireless Mouse,24.99,4,,Philadelphia
ORD-10062,2025-01-20,C0062,Laptop Stand,34.99,1,SAVE10,New York
ORD-10063,2025-01-21,C0111,USB-C Hub,39.99,3,SAVE10,Chicago
ORD-10064,2025-01-21,,Wireless Mouse,24.99,1,SAVE10,New York
ORD-10065,2025-01-22,C0003,1080p Webcam,59.99,1,,Atlanta
ORD-10066,2025-01-23,C0020,Wireless Mouse,24.99,2,,Dallas
ORD-10067,2025-01-23,C0112,Wireless Mouse,24.99,1,SAVE10,  Los Angeles
ORD-10068,2025-01-23,C0049,Noise-Cancelling Headphones,199.99,1,SAVE10,Chicago
ORD-10069,2025-01-23,,Mechanical Keyboard,89.99,1,SAVE20,Los Angeles
ORD-10070,2025-01-24,C0055,USB-C Hub,39.99,1,SAVE10,Austin
ORD-10071,01/24/2025,C0146,Noise-Cancelling Headphones,$199.99,1,,Austin
ORD-10072,2025-01-24,C0142,LED Desk Lamp,29.99,2,WELCOME5,Houston
ORD-10073,2025-01-25,C0004,LED Desk Lamp,29.99,2,,Houston
ORD-10074,2025-01-25,C0032,27in Monitor,249.99,1,NULL,portland
ORD-10075,2025-01-26,,USB-C Hub,39.99,2, SAVE20,Los Angeles 
ORD-10076,2025-01-26,C0006,USB-C Hub,39.99,2,,Dallas
ORD-10077,2025-01-26,C0044,LED Desk Lamp,29.99,1,SAVE15,New York
ORD-10078,2025-01-26,C0052,LED Desk Lamp,29.99,1,,Houston
ORD-10079,2025-01-26,C0121,Laptop Stand,34.99,1,,Chicago
ORD-10080,2025-01-27,C0076,Laptop Stand,34.99,3,WELCOME5,Austin
ORD-10081,2025-01-27,C0131,Wireless Mouse,$24.99,2,,Los Angeles
ORD-10082,2025-01-27,C0083,1080p Webcam,59.99,,,Phoenix
ORD-10083,2025-01-27,C0081,Wireless Mouse,24.99,1,SAVE10,SEATTLE
ORD-10084,2025-01-27,C0126,USB-C Hub,39.99,3,,Los Angeles
ORD-10085,2025-01-29,C0010,LED Desk Lamp,29.99,999,SAVE15,Los Angeles
ORD-10086,2025-01-29,C0093,Wireless Mouse,24.99,3,,Atlanta
ORD-10087,2025-01-29,C0114,27in Monitor,249.99,3,,Seattle
ORD-10088,2025-01-29,C0038,1080p Webcam,59.99,1,,Portland
ORD-10089,2025-01-30,C0141,USB-C Hub,39.99,2,Save15,chicago
ORD-10090,2025-01-30,C0070,1080p Webcam,59.99,1,,Portland
ORD-10091,2025-01-30,C0128,USB-C Hub,39.99,3,,Dallas
ORD-10092,2025-01-30,C0068,Laptop Stand,34.99,2,,PORTLAND
ORD-10093,2025-01-31,C0039,1080p Webcam,59.99,4,SAVE10,Portland
ORD-10094,2025-01-31,C0079,27in Monitor,249.99,3,SAVE10,Philadelphia
ORD-10095,2025-01-31,C0148,USB-C Hub,39.99,1,SAVE15,Atlanta
ORD-10096,2025-01-31,C0131,USB-C Hub,39.99,4,WELCOME5,Los Angeles
ORD-10097,2025-01-31,C0073,27in Monitor,249.99,1,SAVE15,Seattle
ORD-10098,2025-02-01,C0104,Wireless Mouse,24.99,1,WELCOME5,Los Angeles
ORD-10099,2025-02-01,C0075,Noise-Cancelling Headphones,199.99,1,,Portland
ORD-10100,2025-02-01,C0121,Mechanical Keyboard,89.99,1,,Los Angeles
ORD-10101,02/01/2025,C0020,USB-C Hub,39.99,1,SAVE20,  Denver
ORD-10102,2025-02-01,C0077,Wireless Mouse,24.99,1,,Los Angeles
ORD-10103,2025-02-01,C0003,Wireless Mouse,24.99,2,,San Diego
ORD-10104,2025-02-02,C0047,USB-C Hub,39.99,1,SAVE15 ,Los Angeles
ORD-10105,02/02/2025,C0145,1080p Webcam,59.99,3,,New York
ORD-10106,2025-02-02,C0121,Wireless Mouse,24.99,1,WELCOME5,Houston
ORD-10107,2025-02-02,C0079,LED Desk Lamp,29.99,5,SAVE10,Austin
ORD-10108,2025-02-03,C0136,27in Monitor,249.99,2,WELCOME5 ,Austin
ORD-10109,2025-02-03,C0075,Noise-Cancelling Headphones,199.99,4,,New York
ORD-10110,2025-02-03,C0079,27in Monitor,249.99,3,SAVE10,Boston
ORD-10111,2025-02-04,C0110,Mechanical Keyboard,89.99,1,,Boston
ORD-10112,2025-02-05,C0126,Laptop Stand,34.99,1,,Chicago
ORD-10113,2025-02-05,C0071,1080p Webcam,59.99,1,,Phoenix
